offer,countstrip,genres,productImage,booktitle,author,actualprice,initialprice
32%,34,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/886/9789388369886.jpg,My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,"Rs.1,019","Rs.1,499"
,35,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/881/9788131938881.jpg,Fruits - Educational Chart,Pegasus Team,Rs.176,
40%,36,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/701/9789326190701.jpg,General Knowledge 2023,Manohar Pandey,Rs.21,Rs.35
40%,37,Romantic,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/980/9788172234980.jpg,Alchemist,Paulo Coelho,Rs.150,Rs.250
17%,38,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/029/9789352534029.jpg,Quantitative Aptitude for Competitive Examinations,R S Aggarwal,Rs.622,Rs.749
30%,39,Romantic,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/088/9780099590088.jpg,Sapiens,Yuval Noah Harari,Rs.419,Rs.599
5%,40,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/443/9788194476443.jpg,BlackBook of English Vocabulary February 2021 by Nikhil Gupta,Nikhil K Gupta,Rs.379,Rs.399
40%,41,Fiction,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/317/9788175994317.jpg,The Complete Novels of Sherlock Holmes,,Rs.179,Rs.299
40%,42,Routine,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/563/9788175993563.jpg,Socho Aur Amir Ho Jao (Think And Grow Rich - Hindi),,Rs.105,Rs.175
8%,43,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/878/9788177091878.jpg,Concepts of Phyics: v. 1,H.C. Verma,Rs.515,Rs.560
,44,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/811/9789391129811.jpg,Moral Story Books for Kids (Set of 10 Books),Maple Press,Rs.273,
24%,45,Life,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/701/9789389432701.jpg,Bhagavad Gita,Anonymous,Rs.266,Rs.350
,46,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/871/9789326196871.jpg,CBSE All In One Social Science Class 10 2022-23 Edition (As per latest CBSE Syllabus issued on 21 April 2022),"Madhumita Pattrea,Farah Sultan",Rs.397,
40%,47,Life,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/640/9789389432640.jpg,The Power of A Positive Attitude: Your Road To Success,"Roger Fritz; Edited by Arthur R. Pell, Ph.D.",Rs.90,Rs.150
5%,48,Life,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/891/9788194790891.jpg,How to Win Friends and Influence People,"Carnegie, Dale","Rs.1,498","Rs.1,577"
33%,49,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/997/9788131248997.jpg,Skin Disease-Diagnosis & Treatment:First South Asia Edition-E-book,"Habif MD, Thomas P.","Rs.2,965","Rs.4,425"
45%,50,Romantic,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/188/9781476753188.jpg,Ugly Love,Colleen Hoover,Rs.274,Rs.499
40%,51,Life,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/680/9780143424680.jpg,Word Power Made Easy,Norman Lewis,Rs.105,Rs.175
,52,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/491/9781780552491.jpg,Brain Games for Clever Kids,Gareth Moore,Rs.230,
,53,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/533/9789355951533.jpg,Oswaal CBSE Chapterwise & Topicwise Question Bank Class 10 Mathematics Standard Book (For 2022-23 Exam),Oswaal Editorial Board,Rs.542,
33%,54,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/748/9780323478748.jpg,Handbook of Liver Disease,Lawrence S Friedman,"Rs.4,037","Rs.6,025"
40%,55,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/043/9789352761043.jpg,Charts: World of Flags Charts (Educational Charts for kids),Om Books Editorial Team,Rs.99,Rs.165
6%,56,Romantic,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/710/9781650978710.jpg,Sex Positions for Couples,Clay Brady,Rs.622,Rs.662
,57,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/017/9788131939017.jpg,Skeletal System - Educational Chart,Pegasus Team,Rs.190,
,58,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/328/9789355951328.jpg,Oswaal CBSE Chapterwise & Topicwise Question Bank Class 10 Social Science Book (For 2022-23 Exam),Oswaal Editorial Board,Rs.618,
40%,59,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/746/9789388810746.jpg,1800+ Reward Stickers - Ideal For Teachers And Parents : Sticker Book With Over 1800 Stickers To Boost The Moral Of Kids,Wonder House Books,Rs.135,Rs.225
40%,60,Life,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/055/9780143440055.jpg,"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,Rs.150,Rs.250
