"a-size-base","a-size-base 2","a-link-normal href","a-link-normal href 2","a-size-base 3","a-link-normal href 3","a-size-base 4","a-link-normal href 4","a-size-base 5","a-link-normal href 5","a-size-base 6","a-link-normal href 6","a-size-base 7","a-link-normal href 7","a-size-base 8"
"Video Capture Resolution","1080p","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-four_browse-bin%3A28430295031&dc&qid=1675167496&rnid=28430291031&ref=lp_1805560031_nr_p_n_feature_twenty-four_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-four_browse-bin%3A28430294031&dc&qid=1675167496&rnid=28430291031&ref=lp_1805560031_nr_p_n_feature_twenty-four_browse-bin_1","4k","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-four_browse-bin%3A28430293031&dc&qid=1675167496&rnid=28430291031&ref=lp_1805560031_nr_p_n_feature_twenty-four_browse-bin_2","720p","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-four_browse-bin%3A28430296031&dc&qid=1675167496&rnid=28430291031&ref=lp_1805560031_nr_p_n_feature_twenty-four_browse-bin_3","8k","","","","","",""
"Lens Type","Macro","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-six_browse-bin%3A35171092031&dc&qid=1675167496&rnid=35171067031&ref=lp_1805560031_nr_p_n_feature_twenty-six_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-six_browse-bin%3A38214023031&dc&qid=1675167496&rnid=35171067031&ref=lp_1805560031_nr_p_n_feature_twenty-six_browse-bin_1","Wide Angle","","","","","","","","","",""
"Photo Sensor Resolution","Up to 9.9 MP","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_five_browse-bin%3A42253779031&dc&qid=1675167496&rnid=42253749031&ref=lp_1805560031_nr_p_n_feature_five_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_five_browse-bin%3A42253777031&dc&qid=1675167496&rnid=42253749031&ref=lp_1805560031_nr_p_n_feature_five_browse-bin_1","10 to 12.9 MP","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_five_browse-bin%3A42253776031&dc&qid=1675167496&rnid=42253749031&ref=lp_1805560031_nr_p_n_feature_five_browse-bin_2","13 to 15.9 MP","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_five_browse-bin%3A42253778031&dc&qid=1675167496&rnid=42253749031&ref=lp_1805560031_nr_p_n_feature_five_browse-bin_3","16 MP & Above","","","","","",""
"Battery Average Life","Up to 6.9 h","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_four_browse-bin%3A42062133031&dc&qid=1675167496&rnid=42062008031&ref=lp_1805560031_nr_p_n_feature_four_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_four_browse-bin%3A42062131031&dc&qid=1675167496&rnid=42062008031&ref=lp_1805560031_nr_p_n_feature_four_browse-bin_1","7 to 12.9 h","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_four_browse-bin%3A42062132031&dc&qid=1675167496&rnid=42062008031&ref=lp_1805560031_nr_p_n_feature_four_browse-bin_2","13 to 18.9 h","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_four_browse-bin%3A42062130031&dc&qid=1675167496&rnid=42062008031&ref=lp_1805560031_nr_p_n_feature_four_browse-bin_3","19 h & above","","","","","",""
"Cellular Technology","2G","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-five_browse-bin%3A33962380031&dc&qid=1675167496&rnid=33962288031&ref=lp_1805560031_nr_p_n_feature_twenty-five_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-five_browse-bin%3A33962381031&dc&qid=1675167496&rnid=33962288031&ref=lp_1805560031_nr_p_n_feature_twenty-five_browse-bin_1","3G","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-five_browse-bin%3A33962379031&dc&qid=1675167496&rnid=33962288031&ref=lp_1805560031_nr_p_n_feature_twenty-five_browse-bin_2","4G","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_twenty-five_browse-bin%3A33962382031&dc&qid=1675167496&rnid=33962288031&ref=lp_1805560031_nr_p_n_feature_twenty-five_browse-bin_3","5G","","","","","",""
"Installed RAM Size","Up to 1.9 GB","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty_browse-bin%3A44897294031&dc&qid=1675167496&rnid=44897277031&ref=lp_1805560031_nr_p_n_feature_thirty_browse-bin_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty_browse-bin%3A44897290031&dc&qid=1675167496&rnid=44897277031&ref=lp_1805560031_nr_p_n_feature_thirty_browse-bin_1","2 to 3.9 GB","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty_browse-bin%3A44897296031&dc&qid=1675167496&rnid=44897277031&ref=lp_1805560031_nr_p_n_feature_thirty_browse-bin_2","4 to 5.9 GB","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty_browse-bin%3A44897287031&dc&qid=1675167496&rnid=44897277031&ref=lp_1805560031_nr_p_n_feature_thirty_browse-bin_3","6 to 7.9 GB","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty_browse-bin%3A44897288031&dc&qid=1675167496&rnid=44897277031&ref=lp_1805560031_nr_p_n_feature_thirty_browse-bin_4","8 to 9.9 GB","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_feature_thirty_browse-bin%3A44897292031&dc&qid=1675167496&rnid=44897277031&ref=lp_1805560031_nr_p_n_feature_thirty_browse-bin_5","10 GB & Above","",""
"Avg. Customer Review","","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_72%3A1318476031&dc&qid=1675167496&rnid=1318475031&ref=lp_1805560031_nr_p_72_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_72%3A1318477031&dc&qid=1675167496&rnid=1318475031&ref=lp_1805560031_nr_p_72_1","","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_72%3A1318478031&dc&qid=1675167496&rnid=1318475031&ref=lp_1805560031_nr_p_72_2","","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_72%3A1318479031&dc&qid=1675167496&rnid=1318475031&ref=lp_1805560031_nr_p_72_3","","","","","","",""
"New Arrivals","Last 30 days","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_date_first_available_absolute%3A1318487031&dc&qid=1675167496&rnid=1318486031&ref=lp_1805560031_nr_p_n_date_first_available_absolute_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_date_first_available_absolute%3A1318488031&dc&qid=1675167496&rnid=1318486031&ref=lp_1805560031_nr_p_n_date_first_available_absolute_1","Last 90 days","","","","","","","","","",""
"Item Condition","New","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_condition-type%3A8609960031&dc&qid=1675167496&rnid=8609959031&ref=lp_1805560031_nr_p_n_condition-type_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_condition-type%3A13736826031&dc&qid=1675167496&rnid=8609959031&ref=lp_1805560031_nr_p_n_condition-type_1","Renewed","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_condition-type%3A8609962031&dc&qid=1675167496&rnid=8609959031&ref=lp_1805560031_nr_p_n_condition-type_2","Used","","","","","","","",""
"Price","Under ₹1,000","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_36%3A1318503031&dc&qid=1675167496&rnid=1318502031&ref=lp_1805560031_nr_p_36_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_36%3A1318504031&dc&qid=1675167496&rnid=1318502031&ref=lp_1805560031_nr_p_36_1","₹1,000 - ₹5,000","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_36%3A1318505031&dc&qid=1675167496&rnid=1318502031&ref=lp_1805560031_nr_p_36_2","₹5,000 - ₹10,000","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_36%3A1318506031&dc&qid=1675167496&rnid=1318502031&ref=lp_1805560031_nr_p_36_3","₹10,000 - ₹20,000","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_36%3A1318507031&dc&qid=1675167496&rnid=1318502031&ref=lp_1805560031_nr_p_36_4","Over ₹20,000","","","",""
"Deals","Today's Deals","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_specials_match%3A21618256031&dc&qid=1675167496&rnid=21618255031&ref=lp_1805560031_nr_p_n_specials_match_0","","","","","","","","","","","",""
"Discount","10% Off or more","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_pct-off-with-tax%3A2665399031&dc&qid=1675167496&rnid=2665398031&ref=lp_1805560031_nr_p_n_pct-off-with-tax_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_pct-off-with-tax%3A2665400031&dc&qid=1675167496&rnid=2665398031&ref=lp_1805560031_nr_p_n_pct-off-with-tax_1","25% Off or more","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_pct-off-with-tax%3A2665402031&dc&qid=1675167496&rnid=2665398031&ref=lp_1805560031_nr_p_n_pct-off-with-tax_2","35% Off or more","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_pct-off-with-tax%3A2665401031&dc&qid=1675167496&rnid=2665398031&ref=lp_1805560031_nr_p_n_pct-off-with-tax_3","50% Off or more","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_pct-off-with-tax%3A27060456031&dc&qid=1675167496&rnid=2665398031&ref=lp_1805560031_nr_p_n_pct-off-with-tax_4","60% Off or more","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_pct-off-with-tax%3A27060457031&dc&qid=1675167496&rnid=2665398031&ref=lp_1805560031_nr_p_n_pct-off-with-tax_5","70% Off or more","",""
"Seller","Daily Shoppers","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_6%3AA2VIO43OOSSAM7&dc&qid=1675167496&rnid=1318474031&ref=lp_1805560031_nr_p_6_0","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_6%3AA2RF5VHQ9FSX6D&dc&qid=1675167496&rnid=1318474031&ref=lp_1805560031_nr_p_6_1","CASESZONE","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_6%3AA14CZOWI0VEHLG&dc&qid=1675167496&rnid=1318474031&ref=lp_1805560031_nr_p_6_2","Appario Retail Private Ltd","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_6%3AA3FYB5HAV8NQCM&dc&qid=1675167496&rnid=1318474031&ref=lp_1805560031_nr_p_6_3","Prime Techno","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_6%3AA3NDZ7FEXNYWD4&dc&qid=1675167496&rnid=1318474031&ref=lp_1805560031_nr_p_6_4","SSSTORE","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_6%3AAPJT7ZM8C882O&dc&qid=1675167496&rnid=1318474031&ref=lp_1805560031_nr_p_6_5","Aggarwal-electronics","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_6%3AA2HKTTDKG5ZE7O&dc&qid=1675167496&rnid=1318474031&ref=lp_1805560031_nr_p_6_6","NTC-BLR"
"Availability","Include Out of Stock","https://www.amazon.in/s?bbn=1805560031&rh=n%3A1805560031%2Cp_n_availability%3A1318485031&dc&qid=1675167496&rnid=1318483031&ref=lp_1805560031_nr_p_n_availability_1","","","","","","","","","","","",""
